Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.38     0.00    20000     0.00     0.00  void std::_Construct<std::__cxx11::list<int, std::allocator<int> >>(std::__cxx11::list<int, std::allocator<int> >*)
  0.00      0.38     0.00    20000     0.00     0.00  std::remove_reference<int&>::type&& std::move<int&>(int&)
  0.00      0.38     0.00    20000     0.00     0.00  void std::_Destroy<std::__cxx11::list<int, std::allocator<int> > >(std::__cxx11::list<int, std::allocator<int> >*)
  0.00      0.38     0.00    14926     0.00     0.00  dfsVisit(std::vector<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > >&, std::vector<int, std::allocator<int> >&, std::vector<int, std::allocator<int> >&, std::vector<int, std::allocator<int> >&, std::vector<int, std::allocator<int> >&, int&, int)
  0.00      0.38     0.00    10001     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::empty() const
  0.00      0.38     0.00    10000     0.00     0.00  void std::__new_allocator<std::_List_node<int> >::construct<int, int const&>(int*, int const&)
  0.00      0.38     0.00    10000     0.00     0.00  void std::allocator_traits<std::allocator<std::_List_node<int> > >::construct<int, int const&>(std::allocator<std::_List_node<int> >&, int*, int const&)
  0.00      0.38     0.00    10000     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_M_dec_size(unsigned long)
  0.00      0.38     0.00    10000     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::push_front(int const&)
  0.00      0.38     0.00    10000     0.00     0.00  std::_List_node<int>* std::__cxx11::list<int, std::allocator<int> >::_M_create_node<int const&>(int const&)
  0.00      0.38     0.00    10000     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::front()
  0.00      0.38     0.00    10000     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::_M_erase(std::_List_iterator<int>)
  0.00      0.38     0.00    10000     0.00     0.00  void std::__cxx11::list<int, std::allocator<int> >::_M_insert<int const&>(std::_List_iterator<int>, int const&)
  0.00      0.38     0.00    10000     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::pop_front()
  0.00      0.38     0.00       15     0.00     0.00  std::allocator<int>::~allocator()
  0.00      0.38     0.00       15     0.00     0.00  std::__new_allocator<int>::~__new_allocator()
  0.00      0.38     0.00       10     0.00     0.00  std::__new_allocator<int>::_M_max_size() const
  0.00      0.38     0.00       10     0.00     0.00  std::allocator<int>::allocator(std::allocator<int> const&)
  0.00      0.38     0.00       10     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      0.38     0.00       10     0.00     0.00  std::__new_allocator<int>::__new_allocator(std::__new_allocator<int> const&)
  0.00      0.38     0.00        7     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
