Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      3.10     0.00        1     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_List_impl::~_List_impl()
  0.00      3.10     0.00        1     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_M_clear()
  0.00      3.10     0.00        1     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_List_base()
  0.00      3.10     0.00        1     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::~_List_base()
  0.00      3.10     0.00        1     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::list()
  0.00      3.10     0.00        1     0.00     0.00  std::__detail::_List_node_header::_M_init()
  0.00      3.10     0.00        1     0.00     0.00  std::__detail::_List_node_header::_List_node_header()
  0.00      3.10     0.00        1     0.00     0.01  std::vector<int, std::allocator<int> >* std::__do_uninit_fill_n<std::vector<int, std::allocator<int> >*, unsigned long, std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >*, unsigned long, std::vector<int, std::allocator<int> > const&)
  0.00      3.10     0.00        1     0.00     0.01  std::vector<int, std::allocator<int> >* std::uninitialized_fill_n<std::vector<int, std::allocator<int> >*, unsigned long, std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >*, unsigned long, std::vector<int, std::allocator<int> > const&)
  0.00      3.10     0.00        1     0.00     0.01  std::vector<int, std::allocator<int> >* std::__uninitialized_fill_n_a<std::vector<int, std::allocator<int> >*, unsigned long, std::vector<int, std::allocator<int> >, std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >*, unsigned long, std::vector<int, std::allocator<int> > const&, std::allocator<std::vector<int, std::allocator<int> > >&)
  0.00      3.10     0.00        1     0.00     0.00  void std::_Destroy<std::vector<int, std::allocator<int> >*>(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*)
  0.00      3.10     0.00        1     0.00     0.00  void std::_Destroy<std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*, std::allocator<std::vector<int, std::allocator<int> > >&)
  0.00      3.10     0.00        1     0.00     0.00  __cxx_global_var_init

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2022 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 4 byte(s) for 0.32% of 3.10 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]     97.7    0.00    3.03                 main [1]
                0.14    2.88       1/1           kosarju(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&) [2]
                0.00    0.01       1/1           std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::vector(unsigned long, std::vector<int, std::allocator<int> > const&, std::allocator<std::vector<int, std::allocator<int> > > const&) [15]
                0.00    0.00   10000/300204954     std::vector<int, std::allocator<int> >::operator[](unsigned long) [6]
                0.00    0.00   10000/200010000     std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long) [7]
                0.00    0.00       1/6           std::vector<int, std::allocator<int> >::vector(unsigned long, int const&, std::allocator<int> const&) [19]
                0.00    0.00       1/6           std::allocator<int>::allocator() [103]
                0.00    0.00       1/1           std::allocator<std::vector<int, std::allocator<int> > >::allocator() [127]
                0.00    0.00       1/10006       std::vector<int, std::allocator<int> >::~vector() [55]
                0.00    0.00       1/3           std::allocator<std::vector<int, std::allocator<int> > >::~allocator() [118]
                0.00    0.00       1/20018       std::allocator<int>::~allocator() [32]
                0.00    0.00       1/1           std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::~vector() [147]
-----------------------------------------------
                0.14    2.88       1/1           main [1]
[2]     97.4    0.14    2.88       1         kosarju(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&) [2]
                2.07    0.23    9998/9998        dfsVisitT(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&, std::vector<int, std::allocator<int> >&, std::vector<int, std::allocator<int> >&, std::vector<int, std::allocator<int> >&, std::vector<int, std::allocator<int> >&, int&, int) [3]
                0.17    0.23    5052/5052        dfsVisit(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&, std::vector<int, std::allocator<int> >&, std::vector<int, std::allocator<int> >&, std::vector<int, std::allocator<int> >&, std::vector<int, std::allocator<int> >&, int&, int) [4]
                0.12    0.00 100030007/300050007     std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::size() const [5]
                0.06    0.00 100090004/300204954     std::vector<int, std::allocator<int> >::operator[](unsigned long) [6]
                0.00    0.00       5/6           std::vector<int, std::allocator<int> >::vector(unsigned long, int const&, std::allocator<int> const&) [19]
                0.00    0.00   10001/10001       std::__cxx11::list<int, std::allocator<int> >::empty() const [58]
                0.00    0.00   10000/10000       std::__cxx11::list<int, std::allocator<int> >::front() [86]
                0.00    0.00   10000/10000       std::__cxx11::list<int, std::allocator<int> >::pop_front() [89]
                0.00    0.00       5/6           std::allocator<int>::allocator() [103]
                0.00    0.00       5/20018       std::allocator<int>::~allocator() [32]
                0.00    0.00       5/10006       std::vector<int, std::allocator<int> >::~vector() [55]
-----------------------------------------------
                                   2             dfsVisitT(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&, std::vector<int, std::allocator<int> >&, std::vector<int, std::allocator<int> >&, std::vector<int, std::allocator<int> >&, std::vector<int, std::allocator<int> >&, int&, int) [3]
                2.07    0.23    9998/9998        kosarju(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&) [2]
[3]     74.2    2.07    0.23    9998+2       dfsVisitT(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&, std::vector<int, std::allocator<int> >&, std::vector<int, std::allocator<int> >&, std::vector<int, std::allocator<int> >&, std::vector<int, std::allocator<int> >&, int&, int) [3]
                0.12    0.00 100010000/300050007     std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::size() const [5]
                0.06    0.00 100050002/300204954     std::vector<int, std::allocator<int> >::operator[](unsigned long) [6]
                0.05    0.00 100000000/200010000     std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long) [7]
